Study File ID,File Name,SampleID,SampleID2,Batch,RT Range [min],Instrument Name,Software Revision,Ref. File ID,Sample Type,Plant,Fungi
F1,F:\RA-4793229\HILIC\2_HILIC_neg_MS2.raw,CTRL1,2,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Control,CTRL,CTRL
F9,F:\RA-4793229\HILIC\10_HILIC_neg_MS2.raw,F1154_1,10,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1154
F13,F:\RA-4793229\HILIC\14_HILIC_neg_MS2.raw,F1177_1,14,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1177
F18,F:\RA-4793229\HILIC\19_HILIC_neg_MS2.raw,F1246_1,19,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1246
F22,F:\RA-4793229\HILIC\23_HILIC_neg_MS2.raw,F1177_2,23,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1177
F39,F:\RA-4793229\HILIC\40_HILIC_neg_MS2.raw,CTRL2,40,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Control,CTRL,CTRL
F40,F:\RA-4793229\HILIC\41_HILIC_neg_MS2.raw,CTRL3,41,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Control,CTRL,CTRL
F45,F:\RA-4793229\HILIC\46_HILIC_neg_MS2.raw,F1154_2,46,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1154
F46,F:\RA-4793229\HILIC\47_HILIC_neg_MS2.raw,F1177_3,47,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1177
F56,F:\RA-4793229\HILIC\57_HILIC_neg_MS2.raw,F1246_2,57,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1246
F58,F:\RA-4793229\HILIC\59_HILIC_neg_MS2.raw,F1154_3,59,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1154
F59,F:\RA-4793229\HILIC\60_HILIC_neg_MS2.raw,F1246_3,60,0,0.00 - 21.00,Orbitrap Exploris Slot #139,3.1-3.1.231.6/3.1.279.9,F55,Sample,CTRL,1246